cos(i), q, u, number
       0.005002,       0.067729,      -0.000067,        592507.
       0.015002,       0.067027,       0.001154,        593229.
       0.025002,       0.068309,       0.000779,        596502.
       0.034996,       0.066967,       0.000398,        598253.
       0.045010,       0.068077,       0.000730,        599268.
       0.055004,       0.066119,      -0.000302,        601026.
       0.065010,       0.066080,       0.000694,        605524.
       0.075010,       0.067142,      -0.000196,        611447.
       0.085009,       0.068025,      -0.000743,        615397.
       0.095008,       0.066099,      -0.000513,        620308.
       0.105008,       0.064343,       0.000309,        626346.
       0.115010,       0.065200,       0.001180,        632303.
       0.125013,       0.065447,       0.000820,        639559.
       0.135015,       0.065874,       0.001788,        646894.
       0.145010,       0.066314,       0.000634,        652627.
       0.155017,       0.064588,      -0.000057,        662482.
       0.165012,       0.066072,       0.000200,        672712.
       0.175007,       0.063947,      -0.000214,        681432.
       0.185015,       0.064997,      -0.001230,        689147.
       0.195014,       0.062786,       0.000351,        700455.
       0.205016,       0.063067,      -0.000266,        710013.
       0.215005,       0.062060,       0.001147,        718329.
       0.225012,       0.062382,      -0.000353,        728426.
       0.235013,       0.060854,      -0.000252,        740088.
       0.245013,       0.060963,       0.000932,        752618.
       0.255009,       0.060262,       0.001430,        762525.
       0.265015,       0.060262,       0.000629,        772408.
       0.275012,       0.061055,       0.001062,        784319.
       0.285008,       0.060333,      -0.000258,        796419.
       0.295012,       0.060408,      -0.001056,        806878.
       0.305013,       0.058474,      -0.000238,        817730.
       0.315017,       0.058313,       0.000076,        830020.
       0.325013,       0.057683,       0.000074,        840481.
       0.335012,       0.057058,       0.001004,        854427.
       0.345011,       0.057477,       0.000790,        865173.
       0.355011,       0.056740,       0.000057,        876921.
       0.365009,       0.056073,       0.000246,        889178.
       0.375017,       0.054258,       0.000323,        899757.
       0.385008,       0.054173,       0.001471,        910590.
       0.395009,       0.054251,       0.000777,        922313.
       0.405016,       0.052532,       0.000677,        932708.
       0.415011,       0.052179,      -0.000138,        942503.
       0.425010,       0.052134,       0.000907,        957975.
       0.435006,       0.052689,      -0.000990,        965526.
       0.445006,       0.052142,      -0.000837,        978668.
       0.455006,       0.050741,       0.000272,        987199.
       0.465007,       0.049582,       0.000977,        998090.
       0.475009,       0.049455,      -0.000887,       1008198.
       0.485007,       0.049619,       0.000842,       1018506.
       0.495007,       0.047771,      -0.000987,       1027648.
       0.505007,       0.047057,      -0.001815,       1041458.
       0.515013,       0.046123,       0.000683,       1051068.
       0.525009,       0.045936,       0.000171,       1059595.
       0.535005,       0.044143,       0.000299,       1069943.
       0.545003,       0.044447,      -0.000277,       1079884.
       0.555008,       0.043835,      -0.000721,       1089017.
       0.565009,       0.041842,      -0.000911,       1099676.
       0.575007,       0.042337,       0.000677,       1107229.
       0.585007,       0.040723,       0.001315,       1116039.
       0.595013,       0.040607,       0.002145,       1124586.
       0.605008,       0.039144,       0.001212,       1132610.
       0.615003,       0.038620,       0.000155,       1141890.
       0.625004,       0.039332,       0.000619,       1151030.
       0.634998,       0.037209,      -0.000014,       1158703.
       0.645007,       0.036615,       0.000235,       1165674.
       0.655009,       0.034575,      -0.000552,       1172702.
       0.665001,       0.035326,      -0.000360,       1182920.
       0.675008,       0.033262,       0.000658,       1189611.
       0.685008,       0.033059,      -0.000337,       1197642.
       0.695007,       0.031232,      -0.000483,       1203640.
       0.705010,       0.030921,      -0.000516,       1211232.
       0.715002,       0.030515,       0.000331,       1218472.
       0.725004,       0.028756,      -0.000203,       1223493.
       0.735006,       0.028481,       0.000561,       1230130.
       0.745006,       0.026730,      -0.000597,       1240262.
       0.755001,       0.026790,       0.000367,       1244463.
       0.765003,       0.026032,       0.000266,       1250819.
       0.775003,       0.024020,       0.000404,       1255820.
       0.785003,       0.023433,       0.000066,       1259760.
       0.795005,       0.022507,      -0.000368,       1267972.
       0.805007,       0.021902,       0.000108,       1273617.
       0.815002,       0.020324,      -0.000188,       1277926.
       0.825007,       0.020149,       0.000203,       1284243.
       0.834997,       0.019045,       0.000245,       1288995.
       0.845005,       0.017453,       0.001279,       1293016.
       0.855003,       0.016719,       0.000220,       1296808.
       0.865007,       0.014769,      -0.000161,       1303855.
       0.875004,       0.014216,      -0.000042,       1307550.
       0.885003,       0.012867,       0.000025,       1311171.
       0.895003,       0.012931,       0.001023,       1316956.
       0.905000,       0.010757,      -0.001373,       1321709.
       0.914999,       0.010034,       0.000266,       1323736.
       0.924999,       0.009178,      -0.000754,       1327887.
       0.935001,       0.008505,      -0.000414,       1333403.
       0.945000,       0.005907,       0.001358,       1337415.
       0.954997,       0.004923,       0.001965,       1341157.
       0.965002,       0.003997,       0.000987,       1341465.
       0.975003,       0.002775,       0.000022,       1345741.
       0.985000,       0.001367,      -0.000752,       1349461.
       0.995003,       0.000968,       0.000653,       1353497.
