cos(i), q, u, number
       0.005011,       0.001164,      -0.000640,        179153.
       0.015025,       0.006276,      -0.000157,        180106.
       0.025002,       0.001557,      -0.000092,        181991.
       0.035017,      -0.000356,      -0.002168,        184239.
       0.045023,       0.001561,       0.001233,        187482.
       0.055017,      -0.001018,      -0.000320,        192561.
       0.065018,      -0.001951,       0.002703,        198183.
       0.075029,      -0.001405,       0.000467,        203856.
       0.085027,      -0.005938,       0.001781,        210902.
       0.095024,      -0.003523,       0.003657,        218221.
       0.105039,      -0.004976,      -0.000933,        226841.
       0.115028,      -0.003729,      -0.000040,        235699.
       0.125031,      -0.007588,      -0.000477,        245525.
       0.135038,      -0.004222,       0.000116,        255954.
       0.145022,      -0.006833,       0.000559,        266306.
       0.155034,      -0.007484,      -0.001235,        277098.
       0.165032,      -0.007564,       0.000717,        288877.
       0.175039,      -0.006703,       0.001060,        302437.
       0.185022,      -0.008797,      -0.000597,        313765.
       0.195035,      -0.009068,      -0.001623,        326290.
       0.205031,      -0.007436,       0.001484,        340044.
       0.215029,      -0.010336,      -0.000404,        354794.
       0.225023,      -0.006836,       0.002226,        368410.
       0.235033,      -0.009618,       0.002012,        383316.
       0.245029,      -0.009902,       0.001327,        397485.
       0.255023,      -0.009183,       0.001261,        413671.
       0.265032,      -0.005855,      -0.001571,        429833.
       0.275025,      -0.008200,       0.000673,        444573.
       0.285028,      -0.007915,       0.001069,        460954.
       0.295027,      -0.009567,       0.000062,        478764.
       0.305030,      -0.007471,      -0.000581,        496613.
       0.315030,      -0.007699,       0.000730,        511836.
       0.325023,      -0.007835,       0.000075,        531335.
       0.335034,      -0.006927,      -0.000422,        548339.
       0.345030,      -0.007873,       0.000208,        565586.
       0.355029,      -0.007650,       0.002274,        584509.
       0.365027,      -0.007151,       0.001677,        604634.
       0.375027,      -0.007022,      -0.000830,        623329.
       0.385021,      -0.007222,      -0.001264,        643721.
       0.395023,      -0.005995,       0.000153,        662888.
       0.405024,      -0.006057,      -0.000066,        682793.
       0.415023,      -0.006384,      -0.000773,        702564.
       0.425031,      -0.007020,       0.000642,        723473.
       0.435025,      -0.004582,      -0.000405,        741436.
       0.445022,      -0.004685,       0.000672,        765381.
       0.455025,      -0.004781,       0.000067,        785942.
       0.465018,      -0.004843,      -0.001060,        807223.
       0.475020,      -0.004271,      -0.000466,        831099.
       0.485022,      -0.005729,       0.000125,        853550.
       0.495017,      -0.004353,       0.000295,        874460.
       0.505022,      -0.003484,      -0.001038,        897112.
       0.515024,      -0.004043,       0.000405,        919129.
       0.525015,      -0.004624,       0.000242,        944763.
       0.535023,      -0.003569,      -0.000477,        966817.
       0.545021,      -0.003507,       0.000596,        991848.
       0.555021,      -0.002757,       0.000122,       1015300.
       0.565023,      -0.002104,      -0.000087,       1039708.
       0.575019,      -0.001708,       0.000109,       1062368.
       0.585021,      -0.002651,      -0.000821,       1087410.
       0.595021,      -0.002281,      -0.000018,       1112428.
       0.605015,      -0.002500,       0.000663,       1138082.
       0.615019,      -0.002530,      -0.000376,       1165800.
       0.625017,      -0.002090,      -0.000486,       1186549.
       0.635019,      -0.002548,      -0.000757,       1215800.
       0.645023,      -0.001001,      -0.000291,       1240449.
       0.655017,      -0.002113,       0.000269,       1266309.
       0.665019,      -0.001937,       0.000462,       1293353.
       0.675017,      -0.001214,      -0.000933,       1323602.
       0.685016,      -0.000459,      -0.000116,       1350062.
       0.695021,      -0.000873,       0.000988,       1375138.
       0.705022,      -0.002383,      -0.000932,       1403770.
       0.715013,      -0.001027,      -0.000305,       1431539.
       0.725016,       0.000295,      -0.000581,       1459316.
       0.735017,      -0.001014,      -0.000763,       1488442.
       0.745017,       0.000355,       0.000819,       1518529.
       0.755017,      -0.000742,      -0.000071,       1545501.
       0.765017,       0.000204,       0.000098,       1572372.
       0.775014,       0.000252,       0.000973,       1605382.
       0.785017,      -0.000100,       0.001231,       1633552.
       0.795017,       0.000494,      -0.000047,       1663035.
       0.805013,       0.000006,       0.000673,       1693692.
       0.815009,       0.000625,      -0.000308,       1720694.
       0.825015,       0.000145,       0.000387,       1753934.
       0.835011,      -0.000671,       0.000817,       1783977.
       0.845014,       0.000036,      -0.000111,       1814631.
       0.855015,      -0.000272,       0.000209,       1845589.
       0.865013,       0.000225,       0.000030,       1874899.
       0.875011,       0.000881,      -0.000091,       1906861.
       0.885014,      -0.000284,      -0.000467,       1935996.
       0.895014,       0.000159,       0.000294,       1971672.
       0.905014,       0.000641,      -0.000832,       2003104.
       0.915010,       0.000280,       0.000465,       2036591.
       0.925014,      -0.000736,       0.000032,       2067824.
       0.935011,       0.000071,      -0.000201,       2100727.
       0.945010,       0.001567,       0.000065,       2130052.
       0.955013,       0.000346,       0.000089,       2165516.
       0.965011,      -0.000214,       0.000134,       2198953.
       0.975010,      -0.000108,       0.000170,       2229906.
       0.985012,      -0.000682,      -0.000578,       2264718.
       0.995014,       0.001249,      -0.000013,       2299158.
