mu, q, u, number, w_total
 0.01,       -0.0843280834,        0.0107753162,          3789.,     3647.9039825025
 0.02,       -0.0819001646,       -0.0043469545,         11716.,    11288.2531029251
 0.03,       -0.0809017470,       -0.0101941846,         20271.,    19518.9793788959
 0.04,       -0.0810358799,       -0.0013658460,         29294.,    28199.9319468172
 0.05,       -0.0774639463,        0.0046437836,         38763.,    37321.8498786848
 0.06,       -0.0735289671,       -0.0014084602,         48685.,    46877.4274889979
 0.07,       -0.0733182422,       -0.0001721475,         59419.,    57226.1771611027
 0.08,       -0.0711344680,        0.0006916927,         69788.,    67215.4317801725
 0.09,       -0.0678591925,       -0.0014866700,         81219.,    78222.7553231778
 0.10,       -0.0631915804,       -0.0001617432,         92297.,    88884.9668831469
 0.11,       -0.0636778355,        0.0035791700,        104029.,   100175.6076026349
 0.12,       -0.0628270594,        0.0003182493,        116857.,   112519.1154112103
 0.13,       -0.0565889236,       -0.0025870553,        129290.,   124514.6692625854
 0.14,       -0.0539860682,        0.0008408709,        142372.,   137090.9172008801
 0.15,       -0.0538303715,        0.0050193107,        155777.,   149992.7140076431
 0.16,       -0.0516313830,        0.0016508876,        170528.,   164215.8404585875
 0.17,       -0.0527963882,       -0.0007718048,        183271.,   176477.5390096405
 0.18,       -0.0506361367,       -0.0001618935,        197882.,   190555.1988352216
 0.19,       -0.0473284138,        0.0000931424,        212849.,   204951.1887828229
 0.20,       -0.0456673477,       -0.0010567363,        228418.,   219967.1873385592
 0.21,       -0.0442679896,       -0.0005028353,        243780.,   234742.0511056113
 0.22,       -0.0435094992,        0.0035413272,        259611.,   250028.9452262775
 0.23,       -0.0404906293,        0.0016286346,        275623.,   265422.9537724224
 0.24,       -0.0400436950,        0.0025125927,        293149.,   282298.1794217972
 0.25,       -0.0381139934,       -0.0008598423,        309561.,   298121.4685576785
 0.26,       -0.0404256301,        0.0017578448,        325731.,   313678.2415077963
 0.27,       -0.0378159191,       -0.0011448859,        344644.,   331898.3486141134
 0.28,       -0.0349118204,       -0.0010895629,        363198.,   349780.8195970377
 0.29,       -0.0331706640,        0.0006922721,        380639.,   366574.8838649067
 0.30,       -0.0327482254,        0.0002123596,        399571.,   384844.3490161958
 0.31,       -0.0322494413,        0.0009467194,        417640.,   402249.2621606241
 0.32,       -0.0302916054,        0.0001925754,        438809.,   422643.0500064412
 0.33,       -0.0318093208,       -0.0006187623,        458297.,   441390.8620961131
 0.34,       -0.0298517261,       -0.0011045027,        478243.,   460640.4455251067
 0.35,       -0.0302009671,        0.0000701706,        498326.,   479964.3360252947
 0.36,       -0.0287853016,       -0.0012102871,        520122.,   501006.3893702298
 0.37,       -0.0266233566,       -0.0015763680,        541687.,   521761.0736849125
 0.38,       -0.0271521248,       -0.0013380454,        560363.,   539774.1954897144
 0.39,       -0.0254408760,        0.0008637899,        584515.,   563055.3819401059
 0.40,       -0.0219247513,        0.0010674265,        606502.,   584250.5465970952
 0.41,       -0.0251492882,        0.0020760453,        626495.,   603566.4327331653
 0.42,       -0.0231674643,       -0.0002075682,        650362.,   626524.3010698766
 0.43,       -0.0226584445,       -0.0007369243,        675416.,   650659.1252486960
 0.44,       -0.0205745009,        0.0014307883,        697169.,   671666.1253768195
 0.45,       -0.0212973112,        0.0006406937,        721108.,   694717.9551442988
 0.46,       -0.0195863187,       -0.0006918407,        746756.,   719484.4429625268
 0.47,       -0.0200919716,        0.0005593516,        773444.,   745225.9403449558
 0.48,       -0.0179417036,        0.0000997278,        796233.,   767202.4920666454
 0.49,       -0.0187903697,       -0.0013415917,        820764.,   790920.0965970666
 0.50,       -0.0177979006,        0.0000223488,        846183.,   815425.3253612252
 0.51,       -0.0160795376,       -0.0008326361,        873854.,   842104.8809398697
 0.52,       -0.0169069056,       -0.0000869356,        899652.,   867024.0476098733
 0.53,       -0.0142501503,       -0.0001313925,        926232.,   892641.2919578823
 0.54,       -0.0154007282,       -0.0004828770,        952794.,   918290.6293106736
 0.55,       -0.0143066319,       -0.0000303090,        980890.,   945363.0881029068
 0.56,       -0.0125940448,        0.0018431776,       1006562.,   970207.2991365091
 0.57,       -0.0132979416,        0.0004466344,       1036326.,   998887.3054945586
 0.58,       -0.0122618571,        0.0012360186,       1064954.,  1026586.7451437103
 0.59,       -0.0119597998,       -0.0015889359,       1092291.,  1052926.9291167434
 0.60,       -0.0111481891,        0.0006128117,       1121257.,  1080929.8936621291
 0.61,       -0.0103946504,       -0.0011709113,       1151859.,  1110495.9265000173
 0.62,       -0.0112586686,        0.0000782805,       1181715.,  1139333.0236832725
 0.63,       -0.0090439633,       -0.0001015662,       1209173.,  1165850.2515745277
 0.64,       -0.0112555520,       -0.0004527045,       1241845.,  1197374.4989005066
 0.65,       -0.0087347293,        0.0008646887,       1271403.,  1225930.3660363073
 0.66,       -0.0086737575,        0.0008515492,       1302218.,  1255784.7119533652
 0.67,       -0.0075722945,       -0.0000289363,       1334167.,  1286593.7448963120
 0.68,       -0.0080741822,       -0.0000321783,       1366030.,  1317354.9915180840
 0.69,       -0.0068697465,        0.0001943194,       1397323.,  1347572.9825494075
 0.70,       -0.0069988532,        0.0008522023,       1428932.,  1378182.0977835236
 0.71,       -0.0068848822,       -0.0011904505,       1463208.,  1411296.1406715650
 0.72,       -0.0068140107,        0.0004664323,       1495623.,  1442606.0551469175
 0.73,       -0.0065724911,       -0.0002216963,       1529880.,  1475719.2493204707
 0.74,       -0.0052049808,        0.0005805170,       1564029.,  1508762.8860450671
 0.75,       -0.0047949905,        0.0006338145,       1596532.,  1540281.6729122293
 0.76,       -0.0053317291,        0.0006441620,       1630871.,  1573400.3902152178
 0.77,       -0.0043677166,        0.0008120404,       1667561.,  1608899.6538384522
 0.78,       -0.0048807693,       -0.0006934647,       1701127.,  1641417.4937553960
 0.79,       -0.0031257428,        0.0002535475,       1736816.,  1675903.5318106199
 0.80,       -0.0033755365,       -0.0006314796,       1771047.,  1709039.0246117446
 0.81,       -0.0025257877,       -0.0003361681,       1807156.,  1743942.7261358362
 0.82,       -0.0033862055,        0.0003853125,       1841350.,  1777071.8093298562
 0.83,       -0.0021098826,        0.0007360703,       1879770.,  1814257.2336432862
 0.84,       -0.0021074819,       -0.0010936909,       1915244.,  1848639.8942840002
 0.85,       -0.0021139498,        0.0011135277,       1949638.,  1881801.1748412710
 0.86,       -0.0019302356,        0.0008486590,       1990138.,  1920991.7413122449
 0.87,       -0.0021270929,       -0.0007336877,       2027810.,  1957519.2160012643
 0.88,       -0.0023068579,       -0.0005141046,       2065081.,  1993618.8696356069
 0.89,       -0.0014814158,       -0.0010314045,       2100097.,  2027484.7033225377
 0.90,       -0.0007321047,       -0.0004434114,       2138508.,  2064741.9078886942
 0.91,       -0.0020323250,       -0.0007523818,       2177695.,  2102662.3322860515
 0.92,        0.0001074516,       -0.0012891448,       2215160.,  2139019.8956971397
 0.93,       -0.0009514792,       -0.0001137707,       2253740.,  2176308.2658255491
 0.94,       -0.0000637453,        0.0003087539,       2295551.,  2216844.3024412701
 0.95,       -0.0003858599,       -0.0005503065,       2330125.,  2250376.7755809785
 0.96,       -0.0001729734,       -0.0003087516,       2372618.,  2291450.8973531751
 0.97,       -0.0004415487,       -0.0006301970,       2412727.,  2330384.2918452825
 0.98,        0.0001421123,        0.0000975352,       2452921.,  2369296.2866040249
 0.99,       -0.0006408090,       -0.0003442071,       2494544.,  2409561.7064191280
 1.00,        0.0001642948,        0.0004140687,       2533501.,  2447382.9121581316
