mu, q, u, number, w_total
 0.01,       -0.1300330316,       -0.0109085104,          1823.,     1823.0000000000
 0.02,       -0.0973228942,       -0.0018199781,          5712.,     5712.0000000000
 0.03,       -0.0994800737,        0.0118176982,         10127.,    10127.0000000000
 0.04,       -0.0930129754,        0.0101532105,         14434.,    14434.0000000000
 0.05,       -0.0824435797,        0.0044651115,         18873.,    18873.0000000000
 0.06,       -0.0787778014,        0.0034544081,         23881.,    23881.0000000000
 0.07,       -0.0796739838,       -0.0038714181,         28731.,    28731.0000000000
 0.08,       -0.0743947208,       -0.0019126653,         34114.,    34114.0000000000
 0.09,       -0.0748799577,        0.0030060630,         39474.,    39474.0000000000
 0.10,       -0.0694522689,       -0.0022316153,         45003.,    45003.0000000000
 0.11,       -0.0737091882,        0.0009774769,         50831.,    50831.0000000000
 0.12,       -0.0633623165,        0.0036851186,         57352.,    57352.0000000000
 0.13,       -0.0632082144,       -0.0029255514,         63483.,    63483.0000000000
 0.14,       -0.0593843320,        0.0032478586,         69809.,    69809.0000000000
 0.15,       -0.0586538876,       -0.0014722318,         77576.,    77576.0000000000
 0.16,       -0.0545453708,        0.0025567676,         83824.,    83824.0000000000
 0.17,       -0.0508202992,        0.0016434380,         91127.,    91127.0000000000
 0.18,       -0.0517882304,        0.0029691476,         98248.,    98248.0000000000
 0.19,       -0.0473839406,        0.0045894308,        107181.,   107181.0000000000
 0.20,       -0.0463551398,       -0.0001876553,        115091.,   115091.0000000000
 0.21,       -0.0428458604,        0.0000888537,        123064.,   123064.0000000000
 0.22,       -0.0403324473,       -0.0019438640,        131702.,   131702.0000000000
 0.23,       -0.0435157426,        0.0004915913,        141215.,   141215.0000000000
 0.24,       -0.0374036502,        0.0002681700,        150631.,   150631.0000000000
 0.25,       -0.0339914333,       -0.0009118914,        161162.,   161162.0000000000
 0.26,       -0.0337057777,        0.0003097224,        170144.,   170144.0000000000
 0.27,       -0.0309056083,       -0.0007640600,        180473.,   180473.0000000000
 0.28,       -0.0272306393,       -0.0031253991,        191164.,   191164.0000000000
 0.29,       -0.0280979747,        0.0004176295,        201498.,   201498.0000000000
 0.30,       -0.0255925667,       -0.0010408827,        212491.,   212491.0000000000
 0.31,       -0.0255981330,        0.0008130242,        223815.,   223815.0000000000
 0.32,       -0.0226574873,        0.0031783447,        235756.,   235756.0000000000
 0.33,       -0.0225475397,       -0.0000856218,        247515.,   247515.0000000000
 0.34,       -0.0218976210,       -0.0000831352,        259383.,   259383.0000000000
 0.35,       -0.0220857560,        0.0000957995,        270452.,   270452.0000000000
 0.36,       -0.0183017705,       -0.0008872223,        282094.,   282094.0000000000
 0.37,       -0.0165337683,       -0.0016665519,        294781.,   294781.0000000000
 0.38,       -0.0168916555,       -0.0031592408,        307408.,   307408.0000000000
 0.39,       -0.0136332700,       -0.0011695018,        320732.,   320732.0000000000
 0.40,       -0.0165319309,       -0.0003913612,        332424.,   332424.0000000000
 0.41,       -0.0135976737,       -0.0018335616,        343616.,   343616.0000000000
 0.42,       -0.0138873302,       -0.0004043974,        358475.,   358475.0000000000
 0.43,       -0.0130633927,       -0.0010128845,        370325.,   370325.0000000000
 0.44,       -0.0104875010,        0.0022748318,        384092.,   384092.0000000000
 0.45,       -0.0125494777,        0.0009106036,        396833.,   396833.0000000000
 0.46,       -0.0114457490,       -0.0012094439,        409260.,   409260.0000000000
 0.47,       -0.0084865958,       -0.0001622413,        422813.,   422813.0000000000
 0.48,       -0.0093801329,        0.0008185082,        435415.,   435415.0000000000
 0.49,       -0.0073569993,       -0.0009270871,        449100.,   449100.0000000000
 0.50,       -0.0071715531,        0.0003266872,        463466.,   463466.0000000000
 0.51,       -0.0070709825,        0.0013873074,        474459.,   474459.0000000000
 0.52,       -0.0086565947,       -0.0004297501,        488274.,   488274.0000000000
