mu, q, u, number, w_total
 0.88,       -0.0064011046,       -0.0004813187,        552661.,   552661.0000000000
 0.89,       -0.0060580147,       -0.0003471335,        563717.,   563717.0000000000
 0.90,       -0.0057977442,       -0.0010225214,        577136.,   577136.0000000000
 0.91,       -0.0051935584,       -0.0000410895,        590055.,   590055.0000000000
 0.92,       -0.0040313982,       -0.0010824334,        604587.,   604587.0000000000
 0.93,       -0.0050910532,       -0.0000224351,        620098.,   620098.0000000000
 0.94,       -0.0024570813,       -0.0007118485,        634228.,   634228.0000000000
 0.95,       -0.0043109337,       -0.0005201726,        651323.,   651323.0000000000
 0.96,       -0.0026131647,        0.0004526587,        672910.,   672910.0000000000
 0.97,       -0.0019541552,        0.0006150822,        696683.,   696683.0000000000
 0.98,       -0.0012555919,       -0.0009844292,        725852.,   725852.0000000000
 0.99,       -0.0000986200,        0.0008745847,        772367.,   772367.0000000000
 1.00,       -0.0014176352,        0.0002204537,        968893.,   968893.0000000000
