mu, q, u, number, w_total
 0.01,       -0.0990992011,        0.0215307029,          3730.,     3723.7721535681
 0.02,       -0.0931916432,       -0.0054473868,         11838.,    11818.5405841085
 0.03,       -0.0850316340,        0.0003488976,         20419.,    20385.0600201367
 0.04,       -0.0888189263,       -0.0068641791,         29353.,    29304.4954178022
 0.05,       -0.0804907250,        0.0024415459,         38529.,    38465.3396378441
 0.06,       -0.0799379842,       -0.0030231835,         48791.,    48710.7415451193
 0.07,       -0.0792681772,        0.0007443480,         59119.,    59021.2719657741
 0.08,       -0.0755702019,        0.0034072751,         69925.,    69809.1813200592
 0.09,       -0.0701894539,       -0.0003487463,         80682.,    80548.6475388638
 0.10,       -0.0656080506,        0.0002085219,         93018.,    92864.4421739994
 0.11,       -0.0654280344,       -0.0017576887,        103944.,   103772.2121241987
 0.12,       -0.0645486188,       -0.0018064190,        116576.,   116383.3786903089
 0.13,       -0.0617260549,       -0.0054874539,        128882.,   128669.4096050702
 0.14,       -0.0595042720,        0.0011674325,        141560.,   141326.5380801270
 0.15,       -0.0588077908,       -0.0014606208,        155071.,   154814.9407524157
 0.16,       -0.0582300983,        0.0005216950,        169742.,   169459.7630216619
 0.17,       -0.0576718880,       -0.0005745717,        182904.,   182601.9468615264
 0.18,       -0.0516064641,        0.0011719426,        197337.,   197009.0297432834
 0.19,       -0.0552970757,       -0.0001598814,        211794.,   211442.8845641054
 0.20,       -0.0477014305,       -0.0024658680,        227987.,   227610.9341938117
 0.21,       -0.0478790477,       -0.0022087443,        242858.,   242456.2784346974
 0.22,       -0.0489569085,       -0.0005503360,        259051.,   258623.4389326072
 0.23,       -0.0468870628,        0.0005212313,        275131.,   274676.9009553540
 0.24,       -0.0454415697,        0.0036107652,        292319.,   291836.1799093289
 0.25,       -0.0429868806,       -0.0001536735,        309115.,   308602.9059645467
 0.26,       -0.0410948962,        0.0009376539,        325650.,   325112.9802054000
 0.27,       -0.0408583342,        0.0005774556,        342738.,   342171.4549432465
 0.28,       -0.0390736911,        0.0004721078,        361736.,   361137.2436066685
 0.29,       -0.0396172057,        0.0029189938,        379756.,   379129.2396717448
 0.30,       -0.0397557191,        0.0008638606,        398653.,   397994.5938421278
 0.31,       -0.0371112501,        0.0016012615,        416464.,   415776.8770006456
 0.32,       -0.0387107284,        0.0008246257,        438701.,   437975.3500606637
 0.33,       -0.0349622225,        0.0007549235,        456388.,   455633.0158209192
 0.34,       -0.0328876166,       -0.0008040153,        475884.,   475097.0264354316
 0.35,       -0.0343733613,       -0.0011623346,        496026.,   495207.1110302529
 0.36,       -0.0303126499,       -0.0013510620,        518016.,   517159.9853224660
 0.37,       -0.0314819710,       -0.0001349271,        538044.,   537154.5899922780
 0.38,       -0.0312037929,        0.0004755380,        560000.,   559075.3147651703
 0.39,       -0.0280913473,       -0.0007598385,        582315.,   581354.8263637731
 0.40,       -0.0302286745,       -0.0008368750,        604576.,   603579.9452226943
 0.41,       -0.0275961984,        0.0000663242,        627057.,   626022.0635692456
 0.42,       -0.0261563329,        0.0008758051,        649098.,   648027.4004247052
 0.43,       -0.0254400645,       -0.0006622067,        672797.,   671688.0770520995
 0.44,       -0.0259872280,        0.0010166022,        695321.,   694172.2985966628
 0.45,       -0.0236302532,        0.0004834061,        719915.,   718727.8611538641
 0.46,       -0.0237359859,       -0.0003702441,        743680.,   742453.6749871336
 0.47,       -0.0226902470,       -0.0007543382,        768570.,   767302.8096785387
 0.48,       -0.0222346049,        0.0010497428,        795380.,   794068.1254662391
 0.49,       -0.0212167736,        0.0001135759,        819381.,   818030.1710219251
 0.50,       -0.0216132529,       -0.0002518618,        844339.,   842948.5205339724
 0.51,       -0.0198616290,        0.0006429308,        871320.,   869884.8296483943
 0.52,       -0.0190477923,       -0.0004386125,        897095.,   895614.1315721750
 0.53,       -0.0191801806,       -0.0013231705,        922828.,   921307.4953267493
 0.54,       -0.0189480984,        0.0001226385,        948803.,   947239.5103972944
 0.55,       -0.0162377881,       -0.0014556273,        979201.,   977586.3461732164
 0.56,       -0.0181842984,        0.0002090850,       1003051.,  1001398.8076085919
 0.57,       -0.0155817112,       -0.0000866771,       1032593.,  1030893.7313829963
 0.58,       -0.0161669523,       -0.0001414331,       1060107.,  1058359.8469966059
 0.59,       -0.0161672592,        0.0006073507,       1089416.,  1087620.7701091901
 0.60,       -0.0134813869,       -0.0000055905,       1119021.,  1117177.3579218728
 0.61,       -0.0142893423,        0.0006242730,       1148347.,  1146456.8936474265
 0.62,       -0.0133718282,       -0.0001594935,       1176185.,  1174247.7198214508
