mu, q, u, number, w_total
 0.01,       -0.0515840030,       -0.0101921334,          3814.,     1570.9546802183
 0.02,       -0.0390342593,       -0.0041441039,         11795.,     4873.9381263880
 0.03,       -0.0412543876,        0.0003088048,         20179.,     8347.4645094293
 0.04,       -0.0384713040,        0.0053087780,         29230.,    12054.1060545918
 0.05,       -0.0387300707,       -0.0009868695,         38709.,    15974.5007172978
 0.06,       -0.0337937817,        0.0010579212,         48641.,    20081.1986614806
 0.07,       -0.0354542229,        0.0002029157,         58962.,    24334.3042251020
 0.08,       -0.0330689391,       -0.0006608339,         69580.,    28697.6807239563
 0.09,       -0.0302022671,       -0.0001027812,         80785.,    33425.0542551735
 0.10,       -0.0305226730,        0.0003720141,         92213.,    37920.4122295482
 0.11,       -0.0300442902,       -0.0001228668,        104555.,    43104.0549878107
 0.12,       -0.0298991732,        0.0005705188,        116078.,    47890.1398144523
 0.13,       -0.0298196040,       -0.0000067198,        129403.,    53440.2851044962
 0.14,       -0.0263321902,        0.0011066389,        141653.,    58396.4164650097
 0.15,       -0.0256042464,        0.0005230351,        155526.,    64161.3726356882
 0.16,       -0.0284868904,        0.0003715733,        169415.,    69921.5928381912
 0.17,       -0.0259150029,        0.0003853710,        183045.,    75690.7863318950
 0.18,       -0.0235452014,        0.0001679690,        196879.,    81095.0029023548
 0.19,       -0.0239038418,        0.0018068577,        212275.,    87593.8706675066
 0.20,       -0.0225900984,       -0.0009800393,        227750.,    94153.5746089164
 0.21,       -0.0224964190,       -0.0001716905,        241608.,    99692.4624920870
 0.22,       -0.0210278566,        0.0002920940,        258481.,   106493.2360250397
 0.23,       -0.0206936713,       -0.0000869291,        274664.,   113449.0960709720
 0.24,       -0.0204543449,       -0.0003098571,        291074.,   119947.4132392446
 0.25,       -0.0210038188,       -0.0000358921,        309023.,   127721.7482562711
 0.26,       -0.0192219289,        0.0009028054,        325523.,   134437.8540489105
 0.27,       -0.0197825504,        0.0002919041,        343076.,   141585.2009231348
 0.28,       -0.0186068989,       -0.0007759865,        360669.,   148879.3214969575
 0.29,       -0.0183520511,        0.0002153849,        379169.,   156642.4108611157
 0.30,       -0.0176232073,       -0.0002869499,        397711.,   164120.5741441215
 0.31,       -0.0166443933,        0.0001063096,        417147.,   172212.8210630259
 0.32,       -0.0164268871,        0.0002935572,        436708.,   180307.6803943170
 0.33,       -0.0171333443,        0.0006349819,        458576.,   189090.8336958595
 0.34,       -0.0156002014,       -0.0003345466,        476903.,   197035.6441771474
 0.35,       -0.0152434993,       -0.0002793959,        496903.,   204921.3939958597
 0.36,       -0.0154645591,        0.0015344876,        518224.,   214205.6181342121
 0.37,       -0.0151008383,        0.0000739783,        538083.,   222187.5009842760
 0.38,       -0.0154129453,        0.0006699752,        559285.,   231351.1085993136
 0.39,       -0.0139712720,        0.0003520429,        582510.,   240648.8846614119
 0.40,       -0.0133068303,       -0.0003284318,        602643.,   249002.6131628707
 0.41,       -0.0139499237,       -0.0001459512,        627678.,   259711.6879005686
 0.42,       -0.0128127276,        0.0002208517,        648658.,   268334.2323493061
 0.43,       -0.0126020027,        0.0006609590,        671306.,   277609.6592063425
 0.44,       -0.0125851952,       -0.0002882369,        695024.,   287757.9569212473
 0.45,       -0.0122739315,        0.0000886805,        719546.,   297547.1439795176
 0.46,       -0.0121950141,       -0.0000154432,        743235.,   307869.6929570754
 0.47,       -0.0109082554,       -0.0000139717,        768470.,   318027.4681433873
 0.48,       -0.0120964558,       -0.0000936465,        793142.,   328098.3683131186
 0.49,       -0.0109163711,        0.0002234227,        819111.,   339082.1762304001
 0.50,       -0.0105733006,        0.0005938960,        842883.,   349055.4925530159
