mu, q, u, number, w_total
 0.01,       -0.0880273453,        0.0109468016,          3789.,     3788.9963026279
 0.02,       -0.0844367579,       -0.0048047235,         11716.,    11715.9887969859
 0.03,       -0.0834172482,       -0.0107631354,         20271.,    20270.9802984769
 0.04,       -0.0833257726,       -0.0013837376,         29294.,    29293.9713282274
 0.05,       -0.0796733536,        0.0046673465,         38763.,    38762.9622478772
 0.06,       -0.0755578175,       -0.0014863694,         48685.,    48684.9526420784
 0.07,       -0.0754302310,       -0.0000372234,         59419.,    59418.9425703433
 0.08,       -0.0730917013,        0.0008330063,         69788.,    69787.9326138259
 0.09,       -0.0696271465,       -0.0016119011,         81219.,    81218.9215129310
 0.10,       -0.0648363983,       -0.0000411732,         92297.,    92296.9106302673
 0.11,       -0.0653999187,        0.0037154039,        104029.,   104028.8990523044
 0.12,       -0.0645083773,        0.0004554390,        116857.,   116856.8863551182
 0.13,       -0.0580524294,       -0.0026965966,        129290.,   129289.8749127121
 0.14,       -0.0553153543,        0.0008465072,        142372.,   142371.8616506929
 0.15,       -0.0551680560,        0.0051618554,        155777.,   155776.8484729183
 0.16,       -0.0529975967,        0.0016914128,        170528.,   170527.8346461958
 0.17,       -0.0540387611,       -0.0008262182,        183271.,   183270.8220194279
 0.18,       -0.0518848019,       -0.0001658687,        197882.,   197881.8080623337
 0.19,       -0.0484133316,        0.0001457890,        212849.,   212848.7930937615
 0.20,       -0.0466095487,       -0.0011477283,        228418.,   228417.7786066433
 0.21,       -0.0452128276,       -0.0005640601,        243780.,   243779.7632245342
 0.22,       -0.0444516091,        0.0036156742,        259611.,   259610.7490106342
 0.23,       -0.0412717017,        0.0017190761,        275623.,   275622.7327914431
 0.24,       -0.0408214280,        0.0025486782,        293149.,   293148.7157498724
 0.25,       -0.0389196602,       -0.0008751755,        309561.,   309560.7003226480
 0.26,       -0.0412482242,        0.0018857033,        325731.,   325730.6842492103
 0.27,       -0.0386547066,       -0.0011976674,        344644.,   344643.6661004535
 0.28,       -0.0355803462,       -0.0011348057,        363198.,   363197.6485275174
 0.29,       -0.0337027645,        0.0007302867,        380639.,   380638.6315466173
 0.30,       -0.0332473867,        0.0002131057,        399571.,   399570.6142185581
 0.31,       -0.0328054501,        0.0009980359,        417640.,   417639.5968294333
 0.32,       -0.0307097157,        0.0002087454,        438809.,   438808.5765504456
 0.33,       -0.0323165807,       -0.0006057407,        458297.,   458296.5570786180
 0.34,       -0.0303482821,       -0.0011488279,        478243.,   478242.5388649836
 0.35,       -0.0306834001,        0.0000364206,        498326.,   498325.5190029870
 0.36,       -0.0291801974,       -0.0012087208,        520122.,   520121.4992761923
 0.37,       -0.0269262164,       -0.0016346696,        541687.,   541686.4780108612
 0.38,       -0.0275540233,       -0.0013792752,        560363.,   560362.4606647149
 0.39,       -0.0257350882,        0.0008985138,        584515.,   584514.4378640532
 0.40,       -0.0221356179,        0.0010895153,        606502.,   606501.4171284569
 0.41,       -0.0254813223,        0.0021564087,        626495.,   626494.3994159037
 0.42,       -0.0234268613,       -0.0001690042,        650362.,   650361.3755797958
 0.43,       -0.0229322400,       -0.0007645350,        675416.,   675415.3514864219
 0.44,       -0.0207697908,        0.0014851612,        697169.,   697168.3319331896
 0.45,       -0.0214731004,        0.0006808794,        721108.,   721107.3087209271
 0.46,       -0.0197230433,       -0.0007328986,        746756.,   746755.2856375623
 0.47,       -0.0202630744,        0.0006058727,        773444.,   773443.2608485562
 0.48,       -0.0180206663,        0.0001160254,        796233.,   796232.2395589871
 0.49,       -0.0189526092,       -0.0013904973,        820764.,   820763.2183242440
 0.50,       -0.0179146740,        0.0000613650,        846183.,   846182.1943696921
 0.51,       -0.0161727647,       -0.0008376368,        873854.,   873853.1683877218
 0.52,       -0.0169724872,       -0.0000854852,        899652.,   899651.1454320669
 0.53,       -0.0142473940,       -0.0001341991,        926232.,   926231.1201891023
 0.54,       -0.0154703244,       -0.0005200060,        952794.,   952793.0962685579
 0.55,       -0.0143178864,       -0.0000350125,        980890.,   980889.0694725863
 0.56,       -0.0126033123,        0.0019321439,       1006562.,  1006561.0478412546
 0.57,       -0.0133163538,        0.0004684765,       1036326.,  1036325.0193615803
 0.58,       -0.0122557750,        0.0012897081,       1064954.,  1064952.9951453567
 0.59,       -0.0119623077,       -0.0016416601,       1092291.,  1092289.9690536815
 0.60,       -0.0111084631,        0.0006411840,       1121257.,  1121255.9438199643
 0.61,       -0.0103328344,       -0.0012083071,       1151859.,  1151857.9167448184
 0.62,       -0.0112683708,        0.0000875599,       1181715.,  1181713.8900382137
 0.63,       -0.0089585970,       -0.0000803043,       1209173.,  1209171.8653871440
 0.64,       -0.0112333344,       -0.0004990254,       1241845.,  1241843.8353101690
 0.65,       -0.0086719803,        0.0008968685,       1271403.,  1271401.8090366465
 0.66,       -0.0085808178,        0.0008745788,       1302218.,  1302216.7839964868
 0.67,       -0.0074543369,       -0.0000255278,       1334167.,  1334165.7541044396
 0.68,       -0.0080239605,       -0.0000480071,       1366030.,  1366028.7252689847
 0.69,       -0.0067321227,        0.0001906778,       1397323.,  1397321.6970734464
 0.70,       -0.0068969338,        0.0008778558,       1428932.,  1428930.6709326243
 0.71,       -0.0067823885,       -0.0012340521,       1463208.,  1463206.6405207119
 0.72,       -0.0067361334,        0.0004899687,       1495623.,  1495621.6116202390
 0.73,       -0.0064933166,       -0.0002120835,       1529880.,  1529878.5816136790
 0.74,       -0.0050945961,        0.0006019572,       1564029.,  1564027.5526593537
 0.75,       -0.0046659545,        0.0006590235,       1596532.,  1596530.5270572763
 0.76,       -0.0052551546,        0.0006588074,       1630871.,  1630869.4950605650
 0.77,       -0.0042752449,        0.0008432672,       1667561.,  1667559.4638612797
 0.78,       -0.0048093020,       -0.0007108981,       1701127.,  1701125.4364803252
 0.79,       -0.0030074777,        0.0002673956,       1736816.,  1736814.4049490774
 0.80,       -0.0032364594,       -0.0006709563,       1771047.,  1771045.3763048612
 0.81,       -0.0023991056,       -0.0003480608,       1807156.,  1807154.3447138597
 0.82,       -0.0032793677,        0.0004034302,       1841350.,  1841348.3168696037
 0.83,       -0.0019913424,        0.0007626844,       1879770.,  1879768.2846229647
 0.84,       -0.0019832834,       -0.0011268760,       1915244.,  1915242.2561210054
 0.85,       -0.0020036301,        0.0011529223,       1949638.,  1949636.2236520206
 0.86,       -0.0018557211,        0.0008636529,       1990138.,  1990136.1894618338
 0.87,       -0.0020442864,       -0.0007549861,       2027810.,  2027808.1595355505
 0.88,       -0.0022213475,       -0.0005162169,       2065081.,  2065079.1289104209
 0.89,       -0.0014063698,       -0.0010656613,       2100097.,  2100095.0987145780
 0.90,       -0.0006399521,       -0.0004830544,       2138508.,  2138506.0686110770
 0.91,       -0.0020094086,       -0.0007708569,       2177695.,  2177693.0354423285
 0.92,        0.0001961695,       -0.0013324361,       2215160.,  2215158.0065456303
 0.93,       -0.0009226148,       -0.0001207561,       2253740.,  2253737.9726055767
 0.94,        0.0000015823,        0.0003106082,       2295551.,  2295548.9393686410
 0.95,       -0.0003443820,       -0.0005693384,       2330125.,  2330122.9120999607
 0.96,       -0.0001344771,       -0.0003357991,       2372618.,  2372615.8748673797
 0.97,       -0.0003998959,       -0.0006582149,       2412727.,  2412724.8442146434
 0.98,        0.0001777240,        0.0001137547,       2452921.,  2452918.8106093723
 0.99,       -0.0006539406,       -0.0003649087,       2494544.,  2494541.7750669015
 1.00,        0.0001750234,        0.0004188516,       2533501.,  2533498.7453653314
