mu, q, u, number, w_total, t_ave
 0.75,       -0.0025018469,        0.0001938028,       1521835.,   340493.3830575880,   36.1559
 0.76,       -0.0022700996,        0.0000336916,       1556200.,   349157.7728917637,   36.2088
 0.77,       -0.0023792727,        0.0000546459,       1587569.,   355823.1615806929,   36.1728
 0.78,       -0.0021639629,       -0.0001503488,       1620627.,   363895.6037685518,   36.1901
 0.79,       -0.0021016286,       -0.0000903953,       1655044.,   371526.1645086564,   36.1931
 0.80,       -0.0018616329,        0.0002162593,       1688244.,   379662.9804463802,   36.2122
 0.81,       -0.0019063191,       -0.0001974657,       1723338.,   386750.5249346199,   36.1835
 0.82,       -0.0015751366,       -0.0000570218,       1758804.,   395727.9643866651,   36.1669
 0.83,       -0.0015299647,        0.0000220069,       1795539.,   403919.7785764012,   36.1733
 0.84,       -0.0017182570,       -0.0000774772,       1830421.,   411596.3168386780,   36.1613
 0.85,       -0.0014393466,       -0.0001077970,       1866195.,   419789.4383339309,   36.1403
 0.86,       -0.0014087149,       -0.0001486059,       1902264.,   428204.1807081373,   36.1522
 0.87,       -0.0011463181,        0.0002386797,       1940878.,   436933.9237923762,   36.1363
 0.88,       -0.0013972451,        0.0000420797,       1975339.,   445584.7828185707,   36.1680
 0.89,       -0.0010530821,       -0.0001649319,       2010514.,   453653.9491326808,   36.1431
 0.90,       -0.0010661565,       -0.0000423265,       2047018.,   461572.6898991234,   36.1229
 0.91,       -0.0009284105,       -0.0005520033,       2087413.,   470851.0946715770,   36.1268
 0.92,       -0.0007998584,        0.0000500134,       2125567.,   480359.1833516866,   36.1451
 0.93,       -0.0005794682,        0.0000323479,       2163161.,   489030.3929310530,   36.1384
 0.94,       -0.0006984757,       -0.0000496768,       2204177.,   498693.4681803011,   36.1245
 0.95,       -0.0004201776,        0.0000395271,       2239838.,   506975.9957795766,   36.1396
 0.96,       -0.0005810621,       -0.0000863980,       2279579.,   515075.8078472226,   36.0924
 0.97,       -0.0003583631,       -0.0000359250,       2323088.,   526098.8694348559,   36.1140
 0.98,       -0.0001111522,        0.0001094929,       2361582.,   535275.7987598479,   36.1203
 0.99,       -0.0000596031,        0.0000391954,       2401426.,   544480.3637253295,   36.1115
 1.00,       -0.0001051306,        0.0001536795,       2443861.,   554576.3723852641,   36.1156
