mu, q, u, number, w_total
 0.01,        0.0000061116,        0.0000006436,          8843.,        4.0831012727
 0.02,       -0.0000127915,       -0.0000023974,          8872.,        4.2430675781
 0.03,       -0.0000244724,       -0.0000009969,          9025.,        4.5933415882
 0.04,       -0.0000381814,       -0.0000059959,          9024.,        4.8264442870
 0.05,       -0.0000576018,       -0.0000010998,          9190.,        5.1415753214
 0.06,       -0.0000667144,        0.0000069060,          9620.,        5.5877308027
 0.07,       -0.0000802456,        0.0000035563,          9702.,        6.0835878220
 0.08,       -0.0000890665,        0.0000072371,          9699.,        6.1769133269
 0.09,       -0.0001016551,        0.0000055111,          9748.,        6.4245083644
 0.10,       -0.0001323091,       -0.0000024420,          9936.,        7.0573969405
 0.11,       -0.0001633392,       -0.0000087188,         10142.,        7.7742663048
 0.12,       -0.0001628732,       -0.0000138413,         10357.,        8.0535217391
 0.13,       -0.0001629079,        0.0000059209,         10508.,        8.3428797903
 0.14,       -0.0001795848,        0.0000145671,         10679.,        8.7082219066
 0.15,       -0.0001792888,        0.0000078002,         10913.,        9.2440265328
 0.16,       -0.0002135697,        0.0000114263,         11099.,        9.7497349955
 0.17,       -0.0002023946,        0.0000116545,         11337.,       10.0315179791
 0.18,       -0.0002195396,        0.0000086823,         11459.,       10.7545299071
 0.19,       -0.0002457127,       -0.0000097511,         11485.,       11.1829625269
 0.20,       -0.0002452008,        0.0000049606,         11845.,       11.5021362809
 0.21,       -0.0002746560,        0.0000033687,         12198.,       12.6843716821
 0.22,       -0.0002855367,       -0.0000017825,         12442.,       13.0253279020
 0.23,       -0.0002694190,       -0.0000100377,         12637.,       13.6181285413
 0.24,       -0.0002862202,       -0.0000045766,         12968.,       14.2257365054
 0.25,       -0.0003061699,        0.0000130738,         13224.,       14.8224045187
 0.26,       -0.0003178206,        0.0000112369,         13448.,       15.2826306584
 0.27,       -0.0003011286,       -0.0000170226,         13827.,       15.7572192731
 0.28,       -0.0003511064,       -0.0000183775,         14113.,       17.2358982267
 0.29,       -0.0003406787,       -0.0000246413,         14395.,       17.5690582342
 0.30,       -0.0003581195,       -0.0000040367,         14947.,       19.1473668112
 0.31,       -0.0003493369,        0.0000244808,         15319.,       19.6547563450
