mu, q, u, number, w_total
 0.01,       -0.0423611743,       -0.0033302821,          4468.,     4459.3138593032
 0.02,       -0.0510492285,       -0.0002651167,         13878.,    13851.5362385085
 0.03,       -0.0538534582,       -0.0041219099,         23374.,    23328.7446471942
 0.04,       -0.0420509257,       -0.0020623360,         33672.,    33606.9915466206
 0.05,       -0.0445328826,       -0.0012329294,         44186.,    44101.3315360737
 0.06,       -0.0433593527,        0.0031779237,         55920.,    55813.5928674589
 0.07,       -0.0380002756,        0.0032238126,         67283.,    67153.2697678734
 0.08,       -0.0363553887,       -0.0019721951,         79328.,    79175.4759623050
 0.09,       -0.0372271048,        0.0011332577,         92107.,    91927.6819398230
 0.10,       -0.0353991556,       -0.0030629722,        104649.,   104445.5160177160
 0.11,       -0.0311269066,        0.0032037803,        118208.,   117978.6056862445
 0.12,       -0.0271003947,       -0.0001558168,        131786.,   131530.5310481818
 0.13,       -0.0306466743,        0.0000288359,        145534.,   145249.1017372141
 0.14,       -0.0263812095,        0.0011459002,        159422.,   159110.6180817670
 0.15,       -0.0239687064,        0.0001907413,        174350.,   174007.6839709559
 0.16,       -0.0241881309,       -0.0015112999,        189961.,   189587.7316841990
 0.17,       -0.0233335484,        0.0008440594,        204495.,   204093.5907573777
 0.18,       -0.0176562898,        0.0004022593,        220403.,   219967.9722160297
 0.19,       -0.0218336022,        0.0003867554,        235990.,   235523.3704157623
 0.20,       -0.0183777457,       -0.0012928414,        252422.,   251921.8909372791
 0.21,       -0.0159993599,       -0.0028483701,        269717.,   269181.1206818781
 0.22,       -0.0185673791,       -0.0005790495,        286808.,   286240.5912374704
 0.23,       -0.0150615740,        0.0001952867,        303904.,   303302.5564664391
 0.24,       -0.0153672284,        0.0015524638,        321843.,   321201.1254761196
 0.25,       -0.0137300650,        0.0012216128,        339240.,   338559.2962449419
 0.26,       -0.0129431757,       -0.0013268693,        357109.,   356394.1631708410
 0.27,       -0.0111661373,        0.0020991105,        376504.,   375752.3414949813
 0.28,       -0.0090692238,        0.0012264472,        395444.,   394650.1779131937
 0.29,       -0.0111085745,       -0.0007512061,        414578.,   413743.1635251045
