mu, q, u, number, w_total
 0.01,       -0.0217580317,       -0.0011010936,          3971.,     1989.6413944215
 0.02,       -0.0231645081,       -0.0011535429,         11842.,     5974.8336415119
 0.03,       -0.0220572828,        0.0003159369,         20299.,    10247.1849059867
 0.04,       -0.0226164884,       -0.0026305430,         29306.,    14958.8499492363
 0.05,       -0.0190958293,        0.0006375039,         38683.,    19789.9879855221
 0.06,       -0.0166399566,       -0.0024802928,         48786.,    24993.4531716904
 0.07,       -0.0161700207,       -0.0030290005,         58684.,    30033.2756946797
 0.08,       -0.0106554099,        0.0040003290,         69436.,    35431.9722304921
 0.09,       -0.0158884834,        0.0016302875,         80119.,    40774.8790871027
 0.10,       -0.0108077501,        0.0010588146,         91412.,    46314.7874056779
 0.11,       -0.0132319734,       -0.0003558323,        102748.,    52460.8421907780
 0.12,       -0.0099947030,       -0.0013898770,        114796.,    58211.4784575073
 0.13,       -0.0098130446,        0.0016734977,        126979.,    64219.7839427853
 0.14,       -0.0086341734,        0.0002187475,        139108.,    70695.3977170067
 0.15,       -0.0081231631,       -0.0009152840,        152694.,    77233.2864026302
 0.16,       -0.0077441977,        0.0013663424,        165911.,    83769.4070005937
 0.17,       -0.0071226471,        0.0006236254,        179416.,    90534.8297890627
 0.18,       -0.0067560586,        0.0007746275,        192809.,    97359.5922509357
 0.19,       -0.0048494309,       -0.0002329395,        207017.,   104307.2867007882
 0.20,       -0.0045952340,        0.0003950756,        221352.,   111469.4064864809
 0.21,       -0.0047756629,       -0.0002655779,        236385.,   118985.3394751113
 0.22,       -0.0037647899,       -0.0007958886,        251254.,   126159.5863711588
 0.23,       -0.0032734155,       -0.0000597814,        266490.,   133767.2039961424
 0.24,       -0.0048361577,       -0.0006325143,        282546.,   141619.2799893259
 0.25,       -0.0024230628,       -0.0011655358,        299031.,   149796.1817089252
 0.26,       -0.0031992422,        0.0004461212,        313557.,   156522.1277654071
 0.27,       -0.0007235442,       -0.0005685716,        331492.,   165526.2886239006
 0.28,       -0.0014270373,        0.0007239131,        348074.,   173707.6037374155
 0.29,       -0.0007170165,       -0.0007430232,        364545.,   181821.8946031106
 0.30,       -0.0016263212,        0.0004451568,        382133.,   190000.1463147898
 0.31,       -0.0003279245,       -0.0014356721,        399915.,   198216.3519252036
 0.32,       -0.0005494457,       -0.0002678996,        418825.,   207914.3993351667
 0.33,       -0.0006712068,       -0.0002607230,        437973.,   217154.1043193619
 0.34,        0.0011891188,       -0.0003520878,        455061.,   224956.2406264366
 0.35,       -0.0007777816,       -0.0000965608,        474433.,   234705.3611073793
 0.36,        0.0010390736,       -0.0011232621,        492612.,   243164.3752110056
 0.37,        0.0005990100,        0.0018263358,        512956.,   252885.4828671549
 0.38,        0.0007248840,        0.0000123964,        531759.,   261973.4154269781
 0.39,        0.0020215307,       -0.0007802672,        552073.,   271626.8935885663
 0.40,        0.0013497349,       -0.0006626442,        570902.,   280373.9115641931
 0.41,        0.0012416138,       -0.0003987116,        592395.,   290477.7385278803
 0.42,        0.0009258961,        0.0002240747,        614521.,   300822.3021523842
 0.43,        0.0012321299,        0.0009711066,        634825.,   310416.1306566836
 0.44,        0.0013937623,       -0.0000467148,        655773.,   320771.2097780668
 0.45,        0.0015778359,        0.0012988329,        676587.,   330390.9865869051
 0.46,        0.0022143805,       -0.0005796585,        698008.,   340819.2686431911
