mu, q, u, number, w_total
 0.01,       -0.0831035761,        0.0025784150,          3938.,     3938.0000000000
 0.02,       -0.0930762564,       -0.0057384521,         12415.,    12415.0000000000
 0.03,       -0.0793645853,        0.0078733538,         21195.,    21195.0000000000
 0.04,       -0.0700824210,        0.0020488844,         30793.,    30793.0000000000
 0.05,       -0.0678343053,       -0.0092733399,         40839.,    40839.0000000000
 0.06,       -0.0658562505,        0.0019545421,         50632.,    50632.0000000000
 0.07,       -0.0592033098,        0.0004443273,         62242.,    62242.0000000000
 0.08,       -0.0571759317,        0.0026427679,         73211.,    73211.0000000000
 0.09,       -0.0568966857,       -0.0001972708,         85507.,    85507.0000000000
 0.10,       -0.0547053544,        0.0053241169,         97038.,    97038.0000000000
 0.11,       -0.0524005659,        0.0000086085,        108535.,   108535.0000000000
 0.12,       -0.0513238552,        0.0008787556,        121618.,   121618.0000000000
 0.13,       -0.0493257632,       -0.0001820583,        134317.,   134317.0000000000
 0.14,       -0.0477064935,       -0.0017561631,        148551.,   148551.0000000000
 0.15,       -0.0445109114,       -0.0001988579,        162140.,   162140.0000000000
 0.16,       -0.0420874693,        0.0019964637,        177337.,   177337.0000000000
 0.17,       -0.0420710692,        0.0006224911,        190272.,   190272.0000000000
 0.18,       -0.0387350664,        0.0014406815,        205639.,   205639.0000000000
 0.19,       -0.0387458790,       -0.0006895903,        221397.,   221397.0000000000
 0.20,       -0.0389846338,       -0.0045678247,        236094.,   236094.0000000000
 0.21,       -0.0385989422,       -0.0016453415,        251474.,   251474.0000000000
 0.22,       -0.0353824937,       -0.0000638570,        268197.,   268197.0000000000
 0.23,       -0.0314545394,        0.0002260731,        286422.,   286422.0000000000
 0.24,       -0.0329850409,        0.0019461234,        303519.,   303519.0000000000
 0.25,       -0.0303642605,       -0.0008217149,        320506.,   320506.0000000000
 0.26,       -0.0296656395,       -0.0004389693,        337363.,   337363.0000000000
 0.27,       -0.0297346634,       -0.0000206358,        355454.,   355454.0000000000
 0.28,       -0.0290242833,       -0.0015835818,        374417.,   374417.0000000000
 0.29,       -0.0277738329,       -0.0009608666,        394366.,   394366.0000000000
 0.30,       -0.0255920748,       -0.0003225690,        411403.,   411403.0000000000
 0.31,       -0.0255462946,        0.0001594744,        432449.,   432449.0000000000
 0.32,       -0.0244325756,        0.0016252448,        449749.,   449749.0000000000
 0.33,       -0.0235364272,       -0.0005739635,        469643.,   469643.0000000000
 0.34,       -0.0228492512,        0.0001570849,        490882.,   490882.0000000000
 0.35,       -0.0199925049,        0.0002108670,        511838.,   511838.0000000000
 0.36,       -0.0232173662,       -0.0004405559,        532682.,   532682.0000000000
 0.37,       -0.0199382393,        0.0009971880,        554284.,   554284.0000000000
 0.38,       -0.0213527569,        0.0009364742,        574845.,   574845.0000000000
 0.39,       -0.0181610220,        0.0008537728,        597253.,   597253.0000000000
