mu, q, u, number, w_total
 0.01,       -0.0425047395,       -0.0033431471,          4468.,     4468.0000000000
 0.02,       -0.0512054167,       -0.0002558559,         13878.,    13878.0000000000
 0.03,       -0.0540079726,       -0.0041249841,         23374.,    23374.0000000000
 0.04,       -0.0421945694,       -0.0020660337,         33672.,    33672.0000000000
 0.05,       -0.0446569999,       -0.0012417633,         44186.,    44186.0000000000
 0.06,       -0.0434832275,        0.0031863087,         55920.,    55920.0000000000
 0.07,       -0.0381118503,        0.0032264592,         67283.,    67283.0000000000
 0.08,       -0.0364779651,       -0.0019737385,         79328.,    79328.0000000000
 0.09,       -0.0373495422,        0.0011428336,         92107.,    92107.0000000000
 0.10,       -0.0355239156,       -0.0030672552,        104649.,   104649.0000000000
 0.11,       -0.0312286562,        0.0032095296,        118208.,   118208.0000000000
 0.12,       -0.0272000027,       -0.0001641086,        131786.,   131786.0000000000
 0.13,       -0.0307476282,        0.0000337357,        145534.,   145534.0000000000
 0.14,       -0.0264726761,        0.0011435579,        159422.,   159422.0000000000
 0.15,       -0.0240668492,        0.0001883753,        174350.,   174350.0000000000
 0.16,       -0.0242691601,       -0.0015078265,        189961.,   189961.0000000000
 0.17,       -0.0234194460,        0.0008447697,        204495.,   204495.0000000000
 0.18,       -0.0177388308,        0.0004045242,        220403.,   220403.0000000000
 0.19,       -0.0219208084,        0.0003837971,        235990.,   235990.0000000000
 0.20,       -0.0184561256,       -0.0012878091,        252422.,   252422.0000000000
 0.21,       -0.0160704658,       -0.0028557201,        269717.,   269717.0000000000
 0.22,       -0.0186484245,       -0.0005808751,        286808.,   286808.0000000000
 0.23,       -0.0151311153,        0.0001902102,        303904.,   303904.0000000000
 0.24,       -0.0154379941,        0.0015595019,        321843.,   321843.0000000000
 0.25,       -0.0138052044,        0.0012201539,        339240.,   339240.0000000000
 0.26,       -0.0130071245,       -0.0013287988,        357109.,   357109.0000000000
 0.27,       -0.0112247327,        0.0021048144,        376504.,   376504.0000000000
 0.28,       -0.0091295203,        0.0012258947,        395444.,   395444.0000000000
 0.29,       -0.0111654068,       -0.0007542299,        414578.,   414578.0000000000
 0.30,       -0.0099513629,       -0.0001748561,        433366.,   433366.0000000000
 0.31,       -0.0090189314,        0.0007581554,        453170.,   453170.0000000000
 0.32,       -0.0080956137,       -0.0004271446,        473406.,   473406.0000000000
 0.33,       -0.0066298593,       -0.0004745732,        494655.,   494655.0000000000
 0.34,       -0.0073191693,       -0.0008068009,        514008.,   514008.0000000000
 0.35,       -0.0068061441,        0.0014555396,        534404.,   534404.0000000000
 0.36,       -0.0054943909,        0.0007533238,        554989.,   554989.0000000000
 0.37,       -0.0061956857,        0.0003550993,        576904.,   576904.0000000000
 0.38,       -0.0060167541,        0.0015062898,        598115.,   598115.0000000000
 0.39,       -0.0039755702,       -0.0007757601,        620250.,   620250.0000000000
 0.40,       -0.0054476444,        0.0000088532,        644207.,   644207.0000000000
 0.41,       -0.0026597123,        0.0021390064,        665579.,   665579.0000000000
 0.42,       -0.0042513237,        0.0008553540,        687739.,   687739.0000000000
 0.43,       -0.0045316390,        0.0006521353,        713266.,   713266.0000000000
 0.44,       -0.0005311044,        0.0006228640,        736543.,   736543.0000000000
 0.45,       -0.0023096508,        0.0010294656,        760741.,   760741.0000000000
 0.46,       -0.0017355259,        0.0009177681,        782956.,   782956.0000000000
 0.47,       -0.0006912371,       -0.0003166941,        806561.,   806561.0000000000
 0.48,       -0.0021290785,       -0.0017788829,        831186.,   831186.0000000000
 0.49,       -0.0019965829,       -0.0004206364,        857050.,   857050.0000000000
 0.50,       -0.0005014112,       -0.0007905077,        881687.,   881687.0000000000
 0.51,       -0.0011894889,        0.0015922549,        907197.,   907197.0000000000
 0.52,       -0.0002704064,        0.0003378112,        931590.,   931590.0000000000
 0.53,       -0.0006272487,       -0.0020113070,        958385.,   958385.0000000000
 0.54,       -0.0004493769,       -0.0006096919,        984080.,   984080.0000000000
 0.55,       -0.0001655749,       -0.0000796996,       1009275.,  1009275.0000000000
 0.56,       -0.0004254226,        0.0001068660,       1036275.,  1036275.0000000000
 0.57,       -0.0005088375,        0.0000565460,       1064787.,  1064787.0000000000
 0.58,        0.0010894471,       -0.0001004648,       1090444.,  1090444.0000000000
 0.59,       -0.0005466550,        0.0001955239,       1116811.,  1116811.0000000000
 0.60,        0.0003734029,        0.0002542493,       1143772.,  1143772.0000000000
 0.61,        0.0005532000,       -0.0000445814,       1170837.,  1170837.0000000000
 0.62,        0.0007476692,        0.0013263915,       1199604.,  1199604.0000000000
 0.63,        0.0010844029,       -0.0000746017,       1226447.,  1226447.0000000000
 0.64,        0.0019212694,        0.0012634257,       1258952.,  1258952.0000000000
