mu, q, u, number, w_total
 0.01,       -0.0239778692,       -0.0122019319,          4936.,     4936.0000000000
 0.02,       -0.0212011307,       -0.0034416845,         15324.,    15324.0000000000
 0.03,       -0.0189774518,       -0.0070599346,         26267.,    26267.0000000000
 0.04,       -0.0206209422,        0.0019904258,         37702.,    37702.0000000000
 0.05,       -0.0139345133,       -0.0014387584,         49708.,    49708.0000000000
 0.06,       -0.0185281860,        0.0032414692,         62366.,    62366.0000000000
 0.07,       -0.0118692919,       -0.0052157800,         75453.,    75453.0000000000
 0.08,       -0.0158093249,       -0.0011906583,         88519.,    88519.0000000000
 0.09,       -0.0058643027,        0.0040369778,        102511.,   102511.0000000000
 0.10,       -0.0073243502,        0.0027262734,        116188.,   116188.0000000000
 0.11,       -0.0038245237,        0.0005051120,        131105.,   131105.0000000000
 0.12,       -0.0074367428,        0.0011745959,        145107.,   145107.0000000000
 0.13,       -0.0045834403,        0.0012567454,        160728.,   160728.0000000000
 0.14,       -0.0072042311,       -0.0037722051,        175894.,   175894.0000000000
 0.15,        0.0007891860,        0.0016399604,        192498.,   192498.0000000000
 0.16,        0.0016498871,       -0.0000187823,        208675.,   208675.0000000000
 0.17,       -0.0000966250,        0.0036688466,        224110.,   224110.0000000000
 0.18,        0.0023635203,       -0.0024428815,        242268.,   242268.0000000000
 0.19,        0.0030086034,       -0.0000225841,        258783.,   258783.0000000000
 0.20,        0.0046283352,        0.0006596649,        276840.,   276840.0000000000
 0.21,        0.0044024636,        0.0012380771,        293211.,   293211.0000000000
 0.22,        0.0064887070,        0.0004921820,        311830.,   311830.0000000000
 0.23,        0.0038955383,        0.0005463900,        330407.,   330407.0000000000
 0.24,        0.0079602854,        0.0009940874,        349011.,   349011.0000000000
 0.25,        0.0079975589,       -0.0007490611,        367171.,   367171.0000000000
 0.26,        0.0079918047,        0.0014632606,        386268.,   386268.0000000000
 0.27,        0.0082231184,        0.0011139431,        405068.,   405068.0000000000
 0.28,        0.0072431101,       -0.0019710183,        424825.,   424825.0000000000
 0.29,        0.0086143705,       -0.0005372849,        445990.,   445990.0000000000
 0.30,        0.0119016760,       -0.0003666185,        466133.,   466133.0000000000
 0.31,        0.0124191134,       -0.0019352573,        486862.,   486862.0000000000
 0.32,        0.0119491579,       -0.0000542292,        506995.,   506995.0000000000
 0.33,        0.0122985565,        0.0011771498,        526554.,   526554.0000000000
 0.34,        0.0128494628,        0.0001950983,        548660.,   548660.0000000000
 0.35,        0.0122226084,       -0.0010189662,        569643.,   569643.0000000000
 0.36,        0.0117209777,        0.0008001462,        591933.,   591933.0000000000
 0.37,        0.0121529076,        0.0005907642,        613266.,   613266.0000000000
 0.38,        0.0128811250,       -0.0003031145,        635076.,   635076.0000000000
 0.39,        0.0137455112,        0.0005805657,        656287.,   656287.0000000000
 0.40,        0.0136162960,       -0.0011131772,        677961.,   677961.0000000000
 0.41,        0.0129421266,       -0.0027796075,        699803.,   699803.0000000000
 0.42,        0.0146803129,       -0.0006187922,        724809.,   724809.0000000000
 0.43,        0.0128661797,       -0.0004148111,        747842.,   747842.0000000000
 0.44,        0.0142480526,       -0.0002262537,        773485.,   773485.0000000000
 0.45,        0.0144510268,        0.0002289309,        793100.,   793100.0000000000
 0.46,        0.0143002795,       -0.0001096821,        817202.,   817202.0000000000
 0.47,        0.0144306909,        0.0008598129,        842124.,   842124.0000000000
 0.48,        0.0140413001,       -0.0003105555,        865993.,   865993.0000000000
 0.49,        0.0144428829,       -0.0003949102,        890700.,   890700.0000000000
 0.50,        0.0145350675,       -0.0000656247,        914685.,   914685.0000000000
 0.51,        0.0156683217,        0.0007313887,        939640.,   939640.0000000000
 0.52,        0.0138501194,        0.0000370653,        962776.,   962776.0000000000
 0.53,        0.0138216674,        0.0004655536,        988283.,   988283.0000000000
 0.54,        0.0135578644,       -0.0011703814,       1013926.,  1013926.0000000000
